집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20201002,101,0,1,0,0,11845,38,63,85,9,96,12136
20201002,101,0,2,0,0,65326,531,4936,431,79,2117,73420
20201002,101,1,1,0,0,12996,53,66,92,9,1141,14357
20201002,101,1,2,0,0,72956,569,5178,493,86,2169,81451
20201003,101,0,1,0,0,10556,83,129,81,16,68,10933
20201003,101,0,2,0,0,62151,789,5340,542,134,2151,71107
20201003,101,1,1,0,0,12706,135,115,127,13,1061,14157
20201003,101,1,2,0,0,74788,923,5742,590,154,2443,84640
20201004,101,0,1,0,0,10758,79,209,150,15,76,11287
20201004,101,0,2,0,0,63864,753,5353,715,279,2395,73359
20201004,101,1,1,0,0,11110,127,148,195,30,1054,12664
20201004,101,1,2,0,0,66147,743,5648,807,320,2356,76021
20201005,101,0,1,0,0,10742,253,570,467,117,180,12329
20201005,101,0,2,0,0,76779,2386,6887,1602,1190,3359,92203
20201005,101,1,1,0,0,9730,313,477,504,173,972,12169
20201005,101,1,2,0,0,73819,2653,7230,1821,1563,3335,90421
20201006,101,0,1,0,0,10130,305,778,566,133,162,12074
20201006,101,0,2,0,0,75172,2729,6977,1932,1283,3399,91492
20201006,101,1,1,0,0,9363,368,622,793,161,976,12283
20201006,101,1,2,0,0,75617,3160,7366,2372,1843,3391,93749
20201007,101,0,1,0,0,10263,317,726,585,127,153,12171
20201007,101,0,2,0,0,76573,2669,6934,1871,1262,3251,92560
20201007,101,1,1,0,0,9804,384,620,756,196,1002,12762
20201007,101,1,2,0,0,77495,3111,7318,2380,1899,3391,95594
20201008,101,0,1,0,0,11489,298,669,515,141,190,13302
20201008,101,0,2,0,0,81100,2632,7331,1790,1267,3360,97480
20201008,101,1,1,0,0,10224,354,588,736,179,1014,13095
20201008,101,1,2,0,0,79960,2999,7796,2271,1778,3382,98186
20201009,101,0,1,0,0,12013,205,540,368,96,102,13324
20201009,101,0,2,0,0,74922,1836,6113,1317,898,2415,87501
20201009,101,1,1,0,0,10484,283,443,512,122,977,12821
20201009,101,1,2,0,0,70819,2136,5798,1696,1271,2513,84233
20201010,101,0,1,0,0,11992,159,368,263,72,94,12948
