집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20201002,101,0,2,0,0,65326,531,4936,431,79,2117,73420
20201003,101,0,2,0,0,62151,789,5340,542,134,2151,71107
20201004,101,0,2,0,0,63864,753,5353,715,279,2395,73359
20201005,101,0,2,0,0,76779,2386,6887,1602,1190,3359,92203
20201006,101,0,2,0,0,75172,2729,6977,1932,1283,3399,91492
20201007,101,0,2,0,0,76573,2669,6934,1871,1262,3251,92560
20201008,101,0,2,0,0,81100,2632,7331,1790,1267,3360,97480
20201009,101,0,2,0,0,74922,1836,6113,1317,898,2415,87501
20201010,101,0,2,0,0,74691,1427,5400,963,809,2568,85858
20201011,101,0,2,0,0,71925,823,4902,798,365,2446,81259
20201012,101,0,2,0,0,79596,2503,7038,1706,1107,3496,95446
20201013,101,0,2,0,0,75713,2761,6994,1932,1341,3297,92038
20201014,101,0,2,0,0,75269,2676,6978,1934,1283,3247,91387
20201015,101,0,2,0,0,77656,2694,6899,1794,1287,3269,93599
20201016,101,0,2,0,0,75807,2541,7294,1768,1055,3078,91543
20201017,101,0,2,0,0,78855,1516,5874,1052,814,2760,90871
20201018,101,0,2,0,0,78511,876,5010,772,394,2737,88300
20201019,101,0,2,0,0,77230,2370,6906,1617,1059,3342,92524
20201020,101,0,2,0,0,77423,2705,7003,1828,1205,3347,93511
20201021,101,0,2,0,0,73469,2508,6989,1831,1157,3083,89037
20201022,101,0,2,0,0,77402,2614,6985,1792,1189,3306,93288
20201023,101,0,2,0,0,76613,2509,7471,1685,1095,3023,92396
20201024,101,0,2,0,0,80687,1453,6101,1053,788,2743,92825
20201025,101,0,2,0,0,79385,869,5140,694,303,2771,89162
20201026,101,0,2,0,0,79634,2472,7088,1702,1146,3433,95475
20201027,101,0,2,0,0,73798,2653,7071,1886,1161,3135,89704
20201028,101,0,2,0,0,76102,2612,7059,1805,1071,3190,91839
20201029,101,0,2,0,0,78556,2695,7063,1758,1059,3354,94485
20201030,101,0,2,0,0,80104,2544,7558,1687,1113,3309,96315
20201031,101,0,2,0,0,82193,1549,6303,1044,689,2918,94696
