조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2014,충청남도 청양군,조미채소계,고추,223457,39.4,396144
2013,충청남도 청양군,조미채소계,고추,210445,16.6,361293
2014,충청남도 아산시,조미채소계,고추,113180,2.3,10472
2013,충청남도 부여군,조미채소계,고추,108645,3.1,34010.292
2011,충청남도 청양군,조미채소계,고추,87264,64.2,194063
2014,충청남도 서천군,조미채소계,고추,82597,27.2,198712
2012,충청남도 청양군,조미채소계,고추,71655,8.8,21598
2014,충청남도 부여군,조미채소계,고추,63157,18.2,72350.12
2015,충청남도 보령시,조미채소계,고추,49811,38.4,36989
2010,충청남도 청양군,조미채소계,고추,47222,13.1,31258.9
2015,충청남도 홍성군,조미채소계,고추,43388,24.8,50276
2015,충청남도 청양군,조미채소계,고추,34564,21.1,25633
2013,충청남도 서산시,조미채소계,고추,34366,26.2,49684.926
2015,충청남도 천안시,조미채소계,고추,33951,4.3,19855
2014,충청남도 천안시,조미채소계,고추,33472,5.9,22485
2013,충청남도 천안시,조미채소계,고추,32941,7.9,21722
2015,충청남도 아산시,조미채소계,고추,32180,2.6,10772
2014,충청남도 홍성군,조미채소계,고추,31796,16.6,23170
2012,충청남도 태안군,조미채소계,고추,29581,19,33725
2013,충청남도 보령시,조미채소계,고추,26840,32.4,47057
2012,충청남도 부여군,조미채소계,고추,26525,0.9,6873.12
2014,충청남도 보령시,조미채소계,고추,26310,25.3,20554
2015,충청남도 서천군,조미채소계,고추,22436,41.9,46175
2014,충청남도 태안군,조미채소계,고추,22122,16.1,16552
2015,충청남도 예산군,조미채소계,고추,21547,9.3,18010
2015,충청남도 태안군,조미채소계,고추,21167.1,14.2,8638.9
2015,충청남도 논산시,조미채소계,고추,20846,20.2,20681
2013,충청남도 태안군,조미채소계,고추,20589,17.1,17253
2015,충청남도 서산시,조미채소계,고추,19890,20.8,16769.64
2015,충청남도 부여군,조미채소계,고추,17960,18.4,22530
2012,충청남도 당진시,조미채소계,고추,17445,6,8165
2011,충청남도 서천군,조미채소계,고추,15762,0,22
2012,충청남도 보령시,조미채소계,고추,15034,22.3,37010
2013,충청남도 홍성군,조미채소계,고추,14559,6,10730
2012,충청남도 홍성군,조미채소계,고추,14458,13.8,22850
2012,충청남도 논산시,조미채소계,고추,13700,5,16655
2014,충청남도 서산시,조미채소계,고추,13371,20.8,14598
2014,충청남도 논산시,조미채소계,고추,12590,2.5,4093
2013,충청남도 당진시,조미채소계,고추,12195,12.2,7358
2012,충청남도 서천군,조미채소계,고추,12002,11.5,17771.5
2010,충청남도 부여군,조미채소계,고추,11813,25.8,53130
2015,충청남도 당진시,조미채소계,고추,11488,49.1,36806
2014,충청남도 공주시,조미채소계,고추,11449,19.2,21975
2013,충청남도 논산시,조미채소계,고추,10633,26.4,26525
2011,충청남도 태안군,조미채소계,고추,10280,8.6,3695
2013,충청남도 서천군,조미채소계,고추,7083.892,13,10707.5
2010,충청남도 공주시,조미채소계,고추,7017,8.5,19884
2013,충청남도 예산군,조미채소계,고추,6257,2,4090
2014,충청남도 예산군,조미채소계,고추,6257,1.5,3150
2011,충청남도 보령시,조미채소계,고추,4954,1.8,1476
2014,충청남도 당진시,조미채소계,고추,4912,4.3,2217
2010,충청남도 당진시,조미채소계,고추,4371,8.6,12300
2015,충청남도 공주시,조미채소계,고추,4200,7.4,9800
2013,충청남도 공주시,조미채소계,고추,4100,7.1,9500
2013,충청남도 계룡시,조미채소계,고추,3370,7.5,8425
2010,충청남도 서산시,조미채소계,고추,2809,14.2,40000
2010,충청남도 금산군,조미채소계,고추,2709,5.9,5320
2011,충청남도 당진시,조미채소계,고추,2700,0.6,574
2012,충청남도 서산시,조미채소계,고추,2580,2.9,2480
2012,충청남도 천안시,조미채소계,고추,2319,8.1,6243
2012,충청남도 금산군,조미채소계,고추,2208,1.1,800
2012,충청남도 공주시,조미채소계,고추,1380,0.7,288
2011,충청남도 홍성군,조미채소계,고추,1000,0.2,150
2012,충청남도 예산군,조미채소계,고추,1000,0.3,250
2015,충청남도 예산군,조미채소계,대파,207180,10.3,541200
2013,충청남도 예산군,조미채소계,대파,207180,10.6,536000
2014,충청남도 예산군,조미채소계,대파,205180,5.6,526000
2010,충청남도 예산군,조미채소계,대파,89070,22.5,244891
2010,충청남도 부여군,조미채소계,대파,85700,5.1,226750
2012,충청남도 부여군,조미채소계,대파,83000,2.4,203300
2011,충청남도 예산군,조미채소계,대파,51926,16.5,97455
2012,충청남도 서산시,조미채소계,대파,35332,33.2,73990.2
2013,충청남도 서산시,조미채소계,대파,33496,27.4,65839.1
2012,충청남도 예산군,조미채소계,대파,25000,15.3,51869
2013,충청남도 아산시,조미채소계,대파,24591,15.6,54100
2014,충청남도 서산시,조미채소계,대파,21830,14.8,44534
2015,충청남도 공주시,조미채소계,대파,20700,14.5,60502
2010,충청남도 당진시,조미채소계,대파,19980,18.8,52050
2015,충청남도 아산시,조미채소계,대파,18000,11.6,51600
2014,충청남도 아산시,조미채소계,대파,18000,11.6,51600
2011,충청남도 서산시,조미채소계,대파,17877,24.9,39417
2010,충청남도 아산시,조미채소계,대파,15370,5.7,43000
2012,충청남도 아산시,조미채소계,대파,15343,5.7,42950
2011,충청남도 아산시,조미채소계,대파,15343,5.7,43000
2012,충청남도 논산시,조미채소계,대파,14700,9.6,16879
2013,충청남도 홍성군,조미채소계,대파,14239,10.6,31585
2015,충청남도 서산시,조미채소계,대파,13770,16.7,28287.16
2010,충청남도 서산시,조미채소계,대파,13118,27.4,32615
2012,충청남도 홍성군,조미채소계,대파,12314,9,30550
2014,충청남도 홍성군,조미채소계,대파,11239,17.8,23685
2011,충청남도 홍성군,조미채소계,대파,10655,5.4,28470
2015,충청남도 태안군,조미채소계,대파,10560,7.5,26550
2011,충청남도 금산군,조미채소계,대파,9217,3.2,2000
2011,충청남도 논산시,조미채소계,대파,8000,19,17670
2015,충청남도 홍성군,조미채소계,대파,5760,14,16128
2010,충청남도 태안군,조미채소계,대파,5680,40.3,38550
2014,충청남도 공주시,조미채소계,대파,5100,2.7,13975
2010,충청남도 논산시,조미채소계,대파,5000,11,13800
2010,충청남도 공주시,조미채소계,대파,4050,11.8,12420
2012,충청남도 공주시,조미채소계,대파,3300,9.2,10000
2015,충청남도 논산시,조미채소계,대파,3000,7.9,7875
2014,충청남도 논산시,조미채소계,대파,3000,7.9,7875
2012,충청남도 당진시,조미채소계,대파,3000,6.6,6600
2011,충청남도 당진시,조미채소계,대파,3000,8.1,8100
2011,충청남도 공주시,조미채소계,대파,3000,9.7,39720
2013,충청남도 논산시,조미채소계,대파,2700,10.7,7200
2015,충청남도 당진시,조미채소계,대파,2320,6.7,5200
2013,충청남도 당진시,조미채소계,대파,2320,6.6,5104
2014,충청남도 태안군,조미채소계,대파,1660,16.8,8900
2013,충청남도 태안군,조미채소계,대파,1660,19.2,10500
2012,충청남도 태안군,조미채소계,대파,1580,19,9900
2014,충청남도 서천군,조미채소계,대파,1290,19.1,5976
2011,충청남도 보령시,조미채소계,대파,1200,2.3,2800
2010,충청남도 보령시,조미채소계,대파,1200,2.7,3240
2011,충청남도 서천군,조미채소계,대파,1000,9,3000
2015,충청남도 서천군,조미채소계,대파,990,17.7,5841
2013,충청남도 서천군,조미채소계,대파,990,9.1,3000
2012,충청남도 서천군,조미채소계,대파,990,9.1,3000
2013,충청남도 부여군,조미채소계,대파,926,23.4,2274.4
2014,충청남도 부여군,조미채소계,대파,925,7.4,2276
2011,충청남도 태안군,조미채소계,대파,730,19.8,4800
2012,충청남도 금산군,조미채소계,대파,149,2.8,420
2015,충청남도 논산시,과채류계,딸기,2982132,112.1,8708573
2014,충청남도 논산시,과채류계,딸기,2954255,115,9135192
2011,충청남도 논산시,과채류계,딸기,2318541,133.2,7225866
2012,충청남도 논산시,과채류계,딸기,2265191,102.1,10061673
2010,충청남도 부여군,과채류계,딸기,1573116,54.1,4646854.04
2011,충청남도 홍성군,과채류계,딸기,1307308,24.7,4616293
2010,충청남도 홍성군,과채류계,딸기,1192708,17.7,3360677
2011,충청남도 부여군,과채류계,딸기,757000,6.1,2420300
2013,충청남도 논산시,과채류계,딸기,720455,105,2685421
2013,충청남도 홍성군,과채류계,딸기,317574,26.9,819100
2013,충청남도 부여군,과채류계,딸기,309069,150.6,1285280.116
2012,충청남도 부여군,과채류계,딸기,234278.9,3416.2,826660.3
2010,충청남도 논산시,과채류계,딸기,215437,131.9,675637
2014,충청남도 부여군,과채류계,딸기,172055.9,83.1,662530
2015,충청남도 부여군,과채류계,딸기,170534,93.8,672425
2012,충청남도 홍성군,과채류계,딸기,135286,27.2,264480
2013,충청남도 금산군,과채류계,딸기,133665,11.9,83665
2014,충청남도 금산군,과채류계,딸기,125085,2.9,57925
2015,충청남도 홍성군,과채류계,딸기,78392,63.6,235456
2013,충청남도 예산군,과채류계,딸기,72735,24.7,192200
2014,충청남도 홍성군,과채류계,딸기,65440,44.9,190508
2010,충청남도 당진시,과채류계,딸기,59443,44.2,268250
2011,충청남도 예산군,과채류계,딸기,58500,36.2,162424
2011,충청남도 금산군,과채류계,딸기,56111,7.7,60503.28
2012,충청남도 금산군,과채류계,딸기,52527,3.8,57333
2010,충청남도 예산군,과채류계,딸기,50196,28.2,141384
2010,충청남도 공주시,과채류계,딸기,46780,45.6,158100
2012,충청남도 당진시,과채류계,딸기,46084,47.4,155745
2015,충청남도 예산군,과채류계,딸기,42728,25.6,115800
2011,충청남도 당진시,과채류계,딸기,39000,58.7,175967
2015,충청남도 서산시,과채류계,딸기,38807,52.3,155120
2015,충청남도 당진시,과채류계,딸기,37261,38.2,72220
2010,충청남도 서산시,과채류계,딸기,36967,23.5,102176.1
2011,충청남도 공주시,과채류계,딸기,36095,38.5,126332.5
2014,충청남도 서산시,과채류계,딸기,35807,48.6,153870
2010,충청남도 금산군,과채류계,딸기,29371,26.3,62760
2014,충청남도 보령시,과채류계,딸기,28731,16.3,58457
2014,충청남도 예산군,과채류계,딸기,28518,25.1,78871
2012,충청남도 예산군,과채류계,딸기,27085,17,76954
2014,충청남도 계룡시,과채류계,딸기,26607,24,84427
2013,충청남도 당진시,과채류계,딸기,26349,45.7,78132
2015,충청남도 보령시,과채류계,딸기,25700,16.6,50540
2013,충청남도 서산시,과채류계,딸기,24630,26.9,58110.75
2013,충청남도 보령시,과채류계,딸기,22031,12.7,47307
2013,충청남도 계룡시,과채류계,딸기,21827,24,68186
2011,충청남도 서산시,과채류계,딸기,20130,27.3,55800
2012,충청남도 서산시,과채류계,딸기,20130,26.1,52660
2013,충청남도 천안시,과채류계,딸기,19282,13.6,54200
2010,충청남도 계룡시,과채류계,딸기,19019,25.7,52557
2010,충청남도 보령시,과채류계,딸기,18950,41.9,182087
2012,충청남도 계룡시,과채류계,딸기,18210,25.1,51050
2011,충청남도 보령시,과채류계,딸기,17990,12.3,39500
